regcode,regname,provcode,provname,citycode,cityname,registered,accredited,unregistered,drafted,for_validation,back_to_encoder,validated,approved,total_stepzero
08,"REGION VIII (EASTERN VISAYAS)",08060,SAMAR,0806019,TALALORA,5,70,15,75,0,0,0,0,1
08,"REGION VIII (EASTERN VISAYAS)",08037,LEYTE,0803748,TANAUAN,94,59,3,13,141,0,0,0,1
08,"REGION VIII (EASTERN VISAYAS)",08060,SAMAR,0806020,TARANGNAN,26,92,189,118,0,0,0,0,0
08,"REGION VIII (EASTERN VISAYAS)",08037,LEYTE,0803749,TOLOSA,58,100,17,9,127,0,16,0,1
08,"REGION VIII (EASTERN VISAYAS)",08064,"SOUTHERN LEYTE",0806418,"TOMAS OPPUS",6,83,11,50,48,0,0,0,1
08,"REGION VIII (EASTERN VISAYAS)",08037,LEYTE,0803750,TUNGA,14,32,0,38,3,0,0,0,1
08,"REGION VIII (EASTERN VISAYAS)",08048,"NORTHERN SAMAR",0804823,VICTORIA,0,47,0,47,0,0,0,0,0
08,"REGION VIII (EASTERN VISAYAS)",08037,LEYTE,0803751,VILLABA,13,177,34,157,16,0,0,0,1
08,"REGION VIII (EASTERN VISAYAS)",08060,SAMAR,0806021,VILLAREAL,39,36,164,66,0,0,0,0,0
08,"REGION VIII (EASTERN VISAYAS)",08060,SAMAR,0806023,ZUMARRAGA,59,8,0,67,0,0,0,0,0
