cadre,geo_code,geo_level,lgu_hired,doh_hired,total,population_2025,households_2025,source_psgc,source_area_name,geo_resolution
nutritionist,1400105,citymun,0,1,1,2019,414,1400105000,Daguioman,direct
sanitary_engineer,1400105,citymun,0,0,0,2019,414,1400105000,Daguioman,direct
sanitary_inspector,1400105,citymun,1,0,1,2019,414,1400105000,Daguioman,direct
physician,1400106,citymun,1,0,1,4074,989,1400106000,Danglas,direct
nurse,1400106,citymun,1,3,4,4074,989,1400106000,Danglas,direct
midwife,1400106,citymun,2,2,4,4074,989,1400106000,Danglas,direct
dentist,1400106,citymun,0,0,0,4074,989,1400106000,Danglas,direct
med_tech,1400106,citymun,0,1,1,4074,989,1400106000,Danglas,direct
nutritionist,1400106,citymun,0,0,0,4074,989,1400106000,Danglas,direct
sanitary_engineer,1400106,citymun,0,0,0,4074,989,1400106000,Danglas,direct
sanitary_inspector,1400106,citymun,1,0,1,4074,989,1400106000,Danglas,direct
physician,1400107,citymun,1,0,1,11516,2848,1400107000,Dolores,direct
nurse,1400107,citymun,3,3,6,11516,2848,1400107000,Dolores,direct
midwife,1400107,citymun,3,3,6,11516,2848,1400107000,Dolores,direct
dentist,1400107,citymun,0,0,0,11516,2848,1400107000,Dolores,direct
med_tech,1400107,citymun,0,1,1,11516,2848,1400107000,Dolores,direct
nutritionist,1400107,citymun,0,0,0,11516,2848,1400107000,Dolores,direct
sanitary_engineer,1400107,citymun,0,0,0,11516,2848,1400107000,Dolores,direct
sanitary_inspector,1400107,citymun,1,0,1,11516,2848,1400107000,Dolores,direct
physician,1400108,citymun,1,0,1,16558,4163,1400108000,La Paz,direct
nurse,1400108,citymun,3,3,6,16558,4163,1400108000,La Paz,direct
midwife,1400108,citymun,4,1,5,16558,4163,1400108000,La Paz,direct
dentist,1400108,citymun,1,0,1,16558,4163,1400108000,La Paz,direct
med_tech,1400108,citymun,0,1,1,16558,4163,1400108000,La Paz,direct
nutritionist,1400108,citymun,0,0,0,16558,4163,1400108000,La Paz,direct
sanitary_engineer,1400108,citymun,0,0,0,16558,4163,1400108000,La Paz,direct
sanitary_inspector,1400108,citymun,1,0,1,16558,4163,1400108000,La Paz,direct
physician,1400109,citymun,0,1,1,3699,693,1400109000,Lacub,direct
nurse,1400109,citymun,2,0,2,3699,693,1400109000,Lacub,direct
midwife,1400109,citymun,2,4,6,3699,693,1400109000,Lacub,direct
dentist,1400109,citymun,0,0,0,3699,693,1400109000,Lacub,direct
med_tech,1400109,citymun,0,0,0,3699,693,1400109000,Lacub,direct
nutritionist,1400109,citymun,0,0,0,3699,693,1400109000,Lacub,direct
sanitary_engineer,1400109,citymun,0,0,0,3699,693,1400109000,Lacub,direct
sanitary_inspector,1400109,citymun,1,0,1,3699,693,1400109000,Lacub,direct
physician,1400110,citymun,1,0,1,14915,3415,1400110000,Lagangilang,direct
nurse,1400110,citymun,2,5,7,14915,3415,1400110000,Lagangilang,direct
midwife,1400110,citymun,5,0,5,14915,3415,1400110000,Lagangilang,direct
dentist,1400110,citymun,0,0,0,14915,3415,1400110000,Lagangilang,direct
med_tech,1400110,citymun,1,0,1,14915,3415,1400110000,Lagangilang,direct
nutritionist,1400110,citymun,0,0,0,14915,3415,1400110000,Lagangilang,direct
sanitary_engineer,1400110,citymun,0,0,0,14915,3415,1400110000,Lagangilang,direct
sanitary_inspector,1400110,citymun,1,0,1,14915,3415,1400110000,Lagangilang,direct
physician,1400111,citymun,1,0,1,4488,1085,1400111000,Lagayan,direct
nurse,1400111,citymun,2,3,5,4488,1085,1400111000,Lagayan,direct
midwife,1400111,citymun,2,1,3,4488,1085,1400111000,Lagayan,direct
dentist,1400111,citymun,0,0,0,4488,1085,1400111000,Lagayan,direct
med_tech,1400111,citymun,0,0,0,4488,1085,1400111000,Lagayan,direct
nutritionist,1400111,citymun,0,0,0,4488,1085,1400111000,Lagayan,direct
sanitary_engineer,1400111,citymun,0,0,0,4488,1085,1400111000,Lagayan,direct
sanitary_inspector,1400111,citymun,1,0,1,4488,1085,1400111000,Lagayan,direct
physician,1400112,citymun,0,0,0,3576,802,1400112000,Langiden,direct
nurse,1400112,citymun,1,4,5,3576,802,1400112000,Langiden,direct
midwife,1400112,citymun,3,0,3,3576,802,1400112000,Langiden,direct
dentist,1400112,citymun,0,0,0,3576,802,1400112000,Langiden,direct
med_tech,1400112,citymun,0,0,0,3576,802,1400112000,Langiden,direct
nutritionist,1400112,citymun,0,0,0,3576,802,1400112000,Langiden,direct
sanitary_engineer,1400112,citymun,0,0,0,3576,802,1400112000,Langiden,direct
sanitary_inspector,1400112,citymun,0,0,0,3576,802,1400112000,Langiden,direct
physician,1400113,citymun,1,0,1,4566,993,1400113000,Licuan-Baay,direct
nurse,1400113,citymun,2,5,7,4566,993,1400113000,Licuan-Baay,direct
midwife,1400113,citymun,2,1,3,4566,993,1400113000,Licuan-Baay,direct
dentist,1400113,citymun,0,0,0,4566,993,1400113000,Licuan-Baay,direct
med_tech,1400113,citymun,0,0,0,4566,993,1400113000,Licuan-Baay,direct
nutritionist,1400113,citymun,0,0,0,4566,993,1400113000,Licuan-Baay,direct
sanitary_engineer,1400113,citymun,0,0,0,4566,993,1400113000,Licuan-Baay,direct
sanitary_inspector,1400113,citymun,1,0,1,4566,993,1400113000,Licuan-Baay,direct
physician,1400114,citymun,1,0,1,6518,1462,1400114000,Luba,direct
nurse,1400114,citymun,2,4,6,6518,1462,1400114000,Luba,direct
midwife,1400114,citymun,6,2,8,6518,1462,1400114000,Luba,direct
dentist,1400114,citymun,0,0,0,6518,1462,1400114000,Luba,direct
med_tech,1400114,citymun,1,0,1,6518,1462,1400114000,Luba,direct
nutritionist,1400114,citymun,0,0,0,6518,1462,1400114000,Luba,direct
sanitary_engineer,1400114,citymun,0,0,0,6518,1462,1400114000,Luba,direct
sanitary_inspector,1400114,citymun,1,0,1,6518,1462,1400114000,Luba,direct
physician,1400115,citymun,0,1,1,4027,835,1400115000,Malibcong,direct
nurse,1400115,citymun,2,9,11,4027,835,1400115000,Malibcong,direct
midwife,1400115,citymun,3,3,6,4027,835,1400115000,Malibcong,direct
dentist,1400115,citymun,0,0,0,4027,835,1400115000,Malibcong,direct
med_tech,1400115,citymun,0,0,0,4027,835,1400115000,Malibcong,direct
nutritionist,1400115,citymun,0,0,0,4027,835,1400115000,Malibcong,direct
sanitary_engineer,1400115,citymun,0,0,0,4027,835,1400115000,Malibcong,direct
sanitary_inspector,1400115,citymun,1,0,1,4027,835,1400115000,Malibcong,direct
physician,1400116,citymun,1,0,1,11614,2789,1400116000,Manabo,direct
nurse,1400116,citymun,2,2,4,11614,2789,1400116000,Manabo,direct
midwife,1400116,citymun,4,1,5,11614,2789,1400116000,Manabo,direct
dentist,1400116,citymun,0,0,0,11614,2789,1400116000,Manabo,direct
med_tech,1400116,citymun,2,0,2,11614,2789,1400116000,Manabo,direct
nutritionist,1400116,citymun,0,0,0,11614,2789,1400116000,Manabo,direct
sanitary_engineer,1400116,citymun,0,0,0,11614,2789,1400116000,Manabo,direct
sanitary_inspector,1400116,citymun,1,0,1,11614,2789,1400116000,Manabo,direct
physician,1400117,citymun,1,0,1,6958,1674,1400117000,Peñarrubia,direct
nurse,1400117,citymun,1,3,4,6958,1674,1400117000,Peñarrubia,direct
midwife,1400117,citymun,2,1,3,6958,1674,1400117000,Peñarrubia,direct
dentist,1400117,citymun,0,0,0,6958,1674,1400117000,Peñarrubia,direct
med_tech,1400117,citymun,0,1,1,6958,1674,1400117000,Peñarrubia,direct
nutritionist,1400117,citymun,0,0,0,6958,1674,1400117000,Peñarrubia,direct
sanitary_engineer,1400117,citymun,0,0,0,6958,1674,1400117000,Peñarrubia,direct
sanitary_inspector,1400117,citymun,1,0,1,6958,1674,1400117000,Peñarrubia,direct
physician,1400118,citymun,1,0,1,12475,3004,1400118000,Pidigan,direct
nurse,1400118,citymun,1,2,3,12475,3004,1400118000,Pidigan,direct
midwife,1400118,citymun,3,1,4,12475,3004,1400118000,Pidigan,direct
dentist,1400118,citymun,0,0,0,12475,3004,1400118000,Pidigan,direct
med_tech,1400118,citymun,0,1,1,12475,3004,1400118000,Pidigan,direct
nutritionist,1400118,citymun,0,0,0,12475,3004,1400118000,Pidigan,direct
sanitary_engineer,1400118,citymun,0,0,0,12475,3004,1400118000,Pidigan,direct
sanitary_inspector,1400118,citymun,1,0,1,12475,3004,1400118000,Pidigan,direct
physician,1400119,citymun,1,0,1,10146,2461,1400119000,Pilar,direct
nurse,1400119,citymun,3,3,6,10146,2461,1400119000,Pilar,direct
midwife,1400119,citymun,5,0,5,10146,2461,1400119000,Pilar,direct
dentist,1400119,citymun,0,0,0,10146,2461,1400119000,Pilar,direct
med_tech,1400119,citymun,0,1,1,10146,2461,1400119000,Pilar,direct
nutritionist,1400119,citymun,0,0,0,10146,2461,1400119000,Pilar,direct
sanitary_engineer,1400119,citymun,0,0,0,10146,2461,1400119000,Pilar,direct
sanitary_inspector,1400119,citymun,1,0,1,10146,2461,1400119000,Pilar,direct
physician,1400120,citymun,0,1,1,6389,1464,1400120000,Sallapadan,direct
nurse,1400120,citymun,6,3,9,6389,1464,1400120000,Sallapadan,direct
midwife,1400120,citymun,4,1,5,6389,1464,1400120000,Sallapadan,direct
dentist,1400120,citymun,0,0,0,6389,1464,1400120000,Sallapadan,direct
med_tech,1400120,citymun,0,0,0,6389,1464,1400120000,Sallapadan,direct
nutritionist,1400120,citymun,0,0,0,6389,1464,1400120000,Sallapadan,direct
sanitary_engineer,1400120,citymun,0,0,0,6389,1464,1400120000,Sallapadan,direct
sanitary_inspector,1400120,citymun,0,0,0,6389,1464,1400120000,Sallapadan,direct
physician,1400121,citymun,0,0,0,4745,1193,1400121000,San Isidro,direct
nurse,1400121,citymun,1,1,2,4745,1193,1400121000,San Isidro,direct
midwife,1400121,citymun,2,3,5,4745,1193,1400121000,San Isidro,direct
dentist,1400121,citymun,0,0,0,4745,1193,1400121000,San Isidro,direct
med_tech,1400121,citymun,0,1,1,4745,1193,1400121000,San Isidro,direct
nutritionist,1400121,citymun,0,1,1,4745,1193,1400121000,San Isidro,direct
sanitary_engineer,1400121,citymun,0,0,0,4745,1193,1400121000,San Isidro,direct
sanitary_inspector,1400121,citymun,1,0,1,4745,1193,1400121000,San Isidro,direct
physician,1400122,citymun,1,0,1,10690,2525,1400122000,San Juan,direct
nurse,1400122,citymun,1,5,6,10690,2525,1400122000,San Juan,direct
midwife,1400122,citymun,2,2,4,10690,2525,1400122000,San Juan,direct
dentist,1400122,citymun,0,0,0,10690,2525,1400122000,San Juan,direct
med_tech,1400122,citymun,0,0,0,10690,2525,1400122000,San Juan,direct
nutritionist,1400122,citymun,0,0,0,10690,2525,1400122000,San Juan,direct
sanitary_engineer,1400122,citymun,0,0,0,10690,2525,1400122000,San Juan,direct
sanitary_inspector,1400122,citymun,1,0,1,10690,2525,1400122000,San Juan,direct
physician,1400123,citymun,1,0,1,5705,1438,1400123000,San Quintin,direct
nurse,1400123,citymun,1,3,4,5705,1438,1400123000,San Quintin,direct
midwife,1400123,citymun,3,1,4,5705,1438,1400123000,San Quintin,direct
dentist,1400123,citymun,0,0,0,5705,1438,1400123000,San Quintin,direct
med_tech,1400123,citymun,0,1,1,5705,1438,1400123000,San Quintin,direct
nutritionist,1400123,citymun,0,0,0,5705,1438,1400123000,San Quintin,direct
sanitary_engineer,1400123,citymun,0,0,0,5705,1438,1400123000,San Quintin,direct
sanitary_inspector,1400123,citymun,1,0,1,5705,1438,1400123000,San Quintin,direct
physician,1400124,citymun,1,0,1,14884,3510,1400124000,Tayum,direct
nurse,1400124,citymun,1,3,4,14884,3510,1400124000,Tayum,direct
midwife,1400124,citymun,3,2,5,14884,3510,1400124000,Tayum,direct
dentist,1400124,citymun,1,0,1,14884,3510,1400124000,Tayum,direct
med_tech,1400124,citymun,1,1,2,14884,3510,1400124000,Tayum,direct
nutritionist,1400124,citymun,0,0,0,14884,3510,1400124000,Tayum,direct
